"Facility Name","Facility ID","NPI","City/Town","State","ZIP Code","Year","ASC-1 Rate*","ASC-1 Footnote","ASC-2 Rate*","ASC-2 Footnote","ASC-3 Rate*","ASC-3 Footnote","ASC-4 Rate*","ASC-4 Footnote","ASC-9 Rate*","ASC-9 Footnote","ASC-11 Rate*","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate*","ASC-13 Footnote","ASC-14 Rate*","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote","ASC-19 Total Cases","ASC-19 Performance Category","ASC-19 RSHV Rate","ASC-19 Interval Lower Limit","ASC-19 Interval Upper Limit","ASC-19 Footnote","ASC-20 Sample","ASC-20 Rate*","ASC-20 Footnote"
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2023,0.00,,0.05,,0.00,,0.12,,74.17,,N/A,5,1178,No Different Than the National Rate,12.0,8.9,16.3,,97.50,,0.00,,162,No Different Than the National Rate,2.2,1.4,3.3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,80,0.00,
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2023,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,34,No Different Than the National Rate,10.2,7.0,14.9,,N/A,5,N/A,5,338,No Different Than the National Rate,2.3,1.6,3.4,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,45,No Different than expected,1.0,0.5,1.8,,,N/A,5
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,90,100.00,
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2023,N/A,5,N/A,5,N/A,5,0.43,,99.60,,N/A,5,2412,No Different Than the National Rate,10.6,8.2,13.9,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,28,No Different than expected,1.0,0.5,1.8,,,N/A,5
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,131,15.70,
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2023,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5,82,No Different Than the National Rate,2.5,1.6,3.9,,N/A,N/A,N/A,N/A,N/A,5,80,No Different than expected,1.2,0.6,2.1,,,N/A,5
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,89,88.80,
ENDO CENTER LLC,19C0001088,1003067844,SLIDELL,LA,70461,2023,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
ENDO CENTER LLC,19C0001088,1003067844,SLIDELL,LA,70461,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,20,0.00,
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2023,0.00,,0.02,,0.00,,0.02,,82.07,,N/A,5,422,No Different Than the National Rate,9.4,6.5,13.4,,99.40,,0.00,,186,No Different Than the National Rate,2.3,1.5,3.4,,51,No Different Than the National Rate,6.7,4.4,10.3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,45,6.60,
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2023,0.00,,0.09,,0.00,,0.14,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100.00,,N/A,5,277,No Different Than the National Rate,2.4,1.6,3.6,,N/A,N/A,N/A,N/A,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2024_Q3,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,71,38.00,
