"State","Year","Avg ASC-1 State Rate*","Median ASC-1 State Rate*","Avg ASC-2 State Rate*","Median ASC-2 State Rate*","Avg ASC-3 State Rate*","Median ASC-3 State Rate*","Avg ASC-4 State Rate*","Median ASC-4 State Rate*","Avg ASC-9 State Rate*","Median ASC-9 State Rate*","Avg ASC-11 State Rate*","Median ASC-11 State Rate*","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate*","Median ASC-13 State Rate*","Avg ASC-14 State Rate*","Median ASC-14 State Rate*","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate*"
AK,2023,0.00,0.00,0.04,0.03,0.00,0.00,0.07,0.05,97.53,95.05,N/A (5),N/A (5),0,10,0,0,97.39,99.97,0.23,0.20,0,9,0,3,0,5,0,3,0,10,0,3,N/A (5)
AK,2024_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),7.30
AL,2023,0.00,0.00,0.01,0.01,0.00,0.00,0.09,0.08,78.62,92.19,99.86,99.86,0,25,1,1,64.12,99.76,0.23,0.12,0,24,0,6,0,9,0,10,0,20,0,17,N/A (5)
AL,2024_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),16.80
AR,2023,0.00,0.00,0.03,0.00,0.00,0.00,0.09,0.03,89.79,88.33,99.45,100.00,0,17,1,1,93.13,99.38,0.27,0.13,0,11,0,23,0,2,0,5,0,15,0,16,N/A (5)
AR,2024_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),28.60
AZ,2023,0.00,0.00,0.02,0.00,0.01,0.00,0.10,0.07,79.85,87.13,100.00,100.00,0,56,1,4,96.10,100.00,0.23,0.23,0,61,0,52,0,18,1,16,1,46,1,75,N/A (5)
AZ,2024_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),23.00
CA,2023,0.00,0.00,0.02,0.00,0.59,0.00,0.07,0.06,74.68,90.60,99.00,100.00,2,246,1,30,87.02,100.00,0.40,0.31,0,188,1,198,0,65,0,69,1,156,0,273,N/A (5)
CA,2024_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),39.40
