"Facility ID","Facility Name","MSA","MSA Title","HCAHPS HLMR","HCAHPS HLMR Percentile","HCAHPS Start Date","HCAHPS End Date","HCAHPS Footnote","COMP-HIP-KNEE","COMP-HIP-KNEE Percentile","COMP Start Date","COMP End Date","COMP Footnote","PRO","PRO Start Date","PRO End Date","Reconciliation Footnote"
010023,BAPTIST MEDICAL CENTER SOUTH,33860,"Montgomery, AL",84,48%,07/01/2022,06/30/2023,,3.79573,27%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,26300,"Hot Springs, AR",83.75,45%,07/01/2022,06/30/2023,,3.07084,73%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
040078,NATIONAL PARK MEDICAL CENTER,26300,"Hot Springs, AR",79.13,9%,07/01/2022,06/30/2023,,3.90251,23%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,*
050056,ANTELOPE VALLEY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",78.19,5%,07/01/2022,06/30/2023,,3.70497,32%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050069,PROVIDENCE ST JOSEPH HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",85.25,66%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,31080,"Los Angeles-Long Beach-Anaheim, CA",85.38,68%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050096,WEST COVINA MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",N/A,N/A,07/01/2022,06/30/2023,***,N/A,N/A,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050104,SAINT FRANCIS MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",79,9%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.63,33%,07/01/2022,06/30/2023,,3.36165,53%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050124,USC VERDUGO HILLS HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",82.81,34%,07/01/2022,06/30/2023,,4.15706,14%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,*
050126,VALLEY PRESBYTERIAN HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",81,18%,07/01/2022,06/30/2023,,3.1975,64%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050132,SAN GABRIEL VALLEY MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",84.81,59%,07/01/2022,06/30/2023,,3.30011,58%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,31080,"Los Angeles-Long Beach-Anaheim, CA",69.75,0%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050168,PROVIDENCE ST JUDE MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",84.75,58%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050169,PIH HEALTH HOSPITAL-WHITTIER,31080,"Los Angeles-Long Beach-Anaheim, CA",85.81,73%,07/01/2022,06/30/2023,,3.45472,46%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050191,ST MARY MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.19,28%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,5,N,07/01/2022,06/30/2023,
050204,PALMDALE REGIONAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.69,16%,07/01/2022,06/30/2023,,4.06057,17%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,*
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,31080,"Los Angeles-Long Beach-Anaheim, CA",85.44,68%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,5,N,07/01/2022,06/30/2023,
050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.5,15%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",75.25,2%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.69,33%,07/01/2022,06/30/2023,,3.12524,70%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050238,METHODIST HOSPITAL OF SOUTHERN CA,31080,"Los Angeles-Long Beach-Anaheim, CA",80.31,14%,07/01/2022,06/30/2023,,3.68372,34%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050281,ALHAMBRA HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",83.25,39%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050350,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,31080,"Los Angeles-Long Beach-Anaheim, CA",80.69,16%,07/01/2022,06/30/2023,,3.09161,72%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050351,TORRANCE MEMORIAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",86,75%,07/01/2022,06/30/2023,,1.61941,100%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050353,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,31080,"Los Angeles-Long Beach-Anaheim, CA",82.13,27%,07/01/2022,06/30/2023,,2.85301,85%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050376,LAC/HARBOR-UCLA MED CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.13,13%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050382,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",80.56,15%,07/01/2022,06/30/2023,,3.03501,75%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050393,PIH HOSPITAL - DOWNEY,31080,"Los Angeles-Long Beach-Anaheim, CA",83.81,46%,07/01/2022,06/30/2023,,3.36148,53%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050426,WEST ANAHEIM MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",77.63,4%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050471,GOOD SAMARITAN HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",79.94,12%,07/01/2022,06/30/2023,,3.45701,46%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050481,WEST HILLS HOSPITAL & MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",79,9%,07/01/2022,06/30/2023,,3.14834,69%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050485,LONG BEACH MEMORIAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.88,35%,07/01/2022,06/30/2023,,4.32763,10%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,*
050526,HUNTINGTON BEACH HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",74.88,1%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,5,N,07/01/2022,06/30/2023,
050551,LOS ALAMITOS MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",76.94,3%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",76.88,3%,07/01/2022,06/30/2023,,3.06621,74%,04/01/2020,03/31/2023,,N,07/01/2022,06/30/2023,
050580,LA PALMA INTERCOMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",80.13,13%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050581,LAKEWOOD REGIONAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",77.81,4%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050588,SAN DIMAS COMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",74.19,1%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050589,PLACENTIA LINDA HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",80.38,14%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050597,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",81.56,22%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
050603,MEMORIALCARE SADDLEBACK MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",83.44,41%,07/01/2022,06/30/2023,,N/A,N/A,04/01/2020,03/31/2023,1,N,07/01/2022,06/30/2023,
