"Measure ID","Measure Name","National Rate","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3.6,12,1638,30,1536,,04/01/2021,03/31/2024
Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,4.2,122,3660,302,429,,07/01/2023,06/30/2024
MORT_30_AMI,Death rate for heart attack patients,12.2,13,1935,29,1916,,07/01/2021,06/30/2024
MORT_30_CABG,Death rate for CABG surgery patients,2.6,17,867,6,199,,07/01/2021,06/30/2024
MORT_30_COPD,Death rate for COPD patients,8.8,35,2624,47,1767,,07/01/2021,06/30/2024
MORT_30_HF,Death rate for heart failure patients,11.6,130,2743,305,1317,,07/01/2021,06/30/2024
MORT_30_PN,Death rate for pneumonia patients,16.2,209,3218,336,795,,07/01/2021,06/30/2024
MORT_30_STK,Death rate for stroke patients,13.3,52,2121,76,1761,,07/01/2021,06/30/2024
PSI_03,Pressure ulcer rate,0.65,213,2939,55,55,,07/01/2021,06/30/2023
PSI_04,Death rate among surgical inpatients with serious treatable complications,176.55,46,1484,48,1043,,07/01/2021,06/30/2023
PSI_06,Iatrogenic pneumothorax rate,0.25,14,3223,0,30,,07/01/2021,06/30/2023
PSI_08,In-hospital fall-associated fracture rate,0.29,4,3233,0,30,,07/01/2021,06/30/2023
PSI_09,Postoperative hemorrhage or hematoma rate,2.44,44,2874,15,145,,07/01/2021,06/30/2023
PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.69,19,2534,3,370,,07/01/2021,06/30/2023
PSI_11,Postoperative respiratory failure rate,10.26,103,2422,49,361,,07/01/2021,06/30/2023
PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.91,78,2848,16,139,,07/01/2021,06/30/2023
PSI_13,Postoperative sepsis rate,5.58,36,2450,14,388,,07/01/2021,06/30/2023
PSI_14,Postoperative wound dehiscence rate,1.87,4,2563,0,415,,07/01/2021,06/30/2023
PSI_15,Abdominopelvic accidental puncture or laceration rate,0.89,22,2904,1,185,,07/01/2021,06/30/2023
PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00,171,2772,85,Not Available,,07/01/2021,06/30/2023
