https://data.cms.gov/provider-data/ location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.cms.gov/provider-data/dataset/4jcv-atw7,Ambulatory Surgical Measures-Facility,6-Aug-25,ASC-20 was refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/wue8-3vwe,Ambulatory Surgical Measures-National,6-Aug-25,ASC-20 was refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/axe7-s95e,Ambulatory Surgical Measures-State,6-Aug-25,ASC-20 was refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/ynj2-r877,Complications and Deaths- Hospital,6-Aug-25,Data Refreshed; New Measure added: Hybrid HWM; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qqw3-t4ie,Complications and Deaths - National,6-Aug-25,Data Refreshed; New Measure added: Hybrid HWM; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/bs2r-24vh,Complications and Deaths- State,6-Aug-25,Data Refreshed; New Measure added: Hybrid HWM; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,6-Aug-25,No updates; Open/Closed List applied 
https://data.cms.gov/provider-data/dataset/bzsr-4my4,Data Updates,6-Aug-25,Data refreshed
https://data.cms.gov/provider-data/dataset/y9us-9xdf,Footnote Crosswalk,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/v6ff-cmgx,Health_Equity_Hospital.csv,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/5ryi-3zdn,Health_Equity_State.csv,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/anfs-nlq7,Health_Equity_National.csv,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/77hc-ibv8,Healthcare Associated Infections - Hospital,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yd3s-jyhd,Healthcare Associated Infections - National,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/k2ze-bqvw,Healthcare Associated Infections - State,6-Aug-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yq43-i98g,Hospital-Acquired Condition Reduction Program,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/xubh-q36u,Hospital General Information,6-Aug-25,Hospital Overall Star Ratings refreshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/9n3s-kdb3,Hospital Readmissions Reduction Program,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/pudb-wetr,Hospital Value-Based Purchasing (HVBP)- Clinical Care Outcomes Scores,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/su9h-3pvj,Hospital Value-Based Purchasing (HVBP)- Efficiency Scores,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/avtz-f2ge,Hospital Value-Based Purchasing (HVBP)- Patient Experience of Care Domain Scores (HCAHPS),6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/dgmq-aat3,Hospital Value-Based Purchasing (HVBP)- Safety,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/ypbt-wvdk,Hospital Value-Based Purchasing (HVBP)- Total Performance Score,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/q9vs-r7wp,Inpatient Psychiatric Facility Quality Measure Data - by Facility,6-Aug-25,Retired measure: IPFQR-HCP COVID-19; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/dc76-gh7x,Inpatient Psychiatric Facility Quality Measure Data - by State,6-Aug-25,Retired measure: IPFQR-HCP COVID-19; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/s5xg-sys6,Inpatient Psychiatric Facility Quality Measure Data - National,6-Aug-25,Retired measure: IPFQR-HCP COVID-19; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/nrdb-3fcy,Maternal Health- by Hospital,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/by6q-6tc4,Maternal Health - by State,6-Aug-25,Dataset temporarily removed
https://data.cms.gov/provider-data/dataset/anxg-51lp,Maternal Health - by National,6-Aug-25,Dataset temporarily removed
https://data.cms.gov/provider-data/dataset/4j6d-yzce,Measure Dates,6-Aug-25,Data refreshed
https://data.cms.gov/provider-data/dataset/nrth-mfg3,Medicare Hospital Spending by Claim,6-Aug-25,No updates
https://data.cms.gov/provider-data/dataset/rrqw-56er,Medicare Spending Per Beneficiary - Hospital,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/5hk7-b79m,Medicare Spending Per Beneficiary - Hospital Additional Decimal Places,6-Aug-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/3n5g-6b7f,Medicare Spending Per Beneficiary - National,6-Aug-25,No updates; Open/Closed List applied
