"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,2025,0.9812,,-0.0656,,07/01/2021,06/30/2023,0.809,,0.1510,,0.307,,-0.7377,,0.983,,0.2538,,0.561,,0.4379,,0.618,,-0.3695,,01/01/2022,12/31/2023,-0.0550,,No,
MARSHALL MEDICAL CENTERS,010005,AL,2025,1.0099,,0.1344,,07/01/2021,06/30/2023,1.665,,1.9068,,0.900,,0.5276,,0.688,,-0.2588,,0.557,,0.4238,,1.422,,1.1510,,01/01/2022,12/31/2023,0.6475,,Yes,
NORTH ALABAMA MEDICAL CENTER,010006,AL,2025,1.1595,,1.1788,,07/01/2021,06/30/2023,0.353,,-0.7843,,0.172,,-1.0258,,0.000,,-1.4543,,0.033,,-1.4281,,0.959,,0.2754,,01/01/2022,12/31/2023,-0.5397,,No,
MIZELL MEMORIAL HOSPITAL,010007,AL,2025,0.9325,,-0.4056,,07/01/2021,06/30/2023,N/A,13,N/A,5,0.000,,-1.3928,,N/A,13,N/A,5,0.655,,0.7701,,N/A,13,N/A,5,01/01/2022,12/31/2023,-0.3427,,No,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2025,N/A,13,N/A,5,07/01/2021,06/30/2023,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2023,N/A,5,No,
ST. VINCENT'S EAST,010011,AL,2025,0.9494,,-0.2879,,07/01/2021,06/30/2023,0.851,,0.2372,,0.547,,-0.2256,,0.127,,-1.2336,,0.602,,0.5828,,0.701,,-0.2125,,01/01/2022,12/31/2023,-0.1899,,No,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2025,0.9390,,-0.3601,,07/01/2021,06/30/2023,N/A,13,N/A,5,0.000,,-1.3928,,1.616,,1.3538,,0.450,,0.0456,,N/A,13,N/A,5,01/01/2022,12/31/2023,-0.0884,,No,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2025,1.3631,,2.3656,,07/01/2021,06/30/2023,0.553,,-0.3741,,0.341,,-0.6652,,0.335,,-0.8722,,0.558,,0.4273,,1.055,,0.4569,,01/01/2022,12/31/2023,0.2231,,No,
CALLAHAN EYE HOSPITAL,010018,AL,2025,0.9831,,-0.0524,,07/01/2021,06/30/2023,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2023,-0.0524,,No,
HELEN KELLER HOSPITAL,010019,AL,2025,0.9451,,-0.3179,,07/01/2021,06/30/2023,2.640,,2.1426,,0.295,,-0.7633,,1.481,,1.1192,,0.744,,1.0846,,1.402,,1.1132,,01/01/2022,12/31/2023,0.7297,,Yes,
DALE MEDICAL CENTER,010021,AL,2025,1.1320,,0.9874,,07/01/2021,06/30/2023,N/A,13,N/A,5,0.967,,0.6706,,N/A,13,N/A,5,0.372,,-0.2300,,N/A,13,N/A,5,01/01/2022,12/31/2023,0.4760,,Yes,
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,2025,N/A,13,N/A,5,07/01/2021,06/30/2023,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.5447,,N/A,13,N/A,5,01/01/2022,12/31/2023,-1.5447,,No,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2025,1.8441,,2.3656,,07/01/2021,06/30/2023,1.521,,1.6114,,1.223,,1.2169,,1.089,,0.4380,,0.379,,-0.2053,,1.741,,1.7543,,01/01/2022,12/31/2023,1.1968,,Yes,
JACKSON HOSPITAL & CLINIC INC,010024,AL,2025,1.0158,,0.1758,,07/01/2021,06/30/2023,2.608,,2.1426,,1.306,,1.3940,,0.680,,-0.2727,,0.765,,1.1589,,2.779,,2.2555,,01/01/2022,12/31/2023,1.1423,,Yes,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,2025,0.9990,,0.0584,,07/01/2021,06/30/2023,1.100,,0.7479,,0.882,,0.4892,,1.099,,0.4554,,0.845,,1.4416,,0.207,,-1.1468,,01/01/2022,12/31/2023,0.3410,,No,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2025,1.2417,,1.7533,,07/01/2021,06/30/2023,0.927,,0.3931,,0.604,,-0.1040,,0.814,,-0.0399,,0.376,,-0.2159,,1.341,,0.9978,,01/01/2022,12/31/2023,0.4641,,Yes,
COMMUNITY HOSPITAL INC,010034,AL,2025,N/A,13,N/A,5,07/01/2021,06/30/2023,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.823,,2.1555,,N/A,13,N/A,5,01/01/2022,12/31/2023,2.1555,,Yes,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2025,0.9435,,-0.3288,,07/01/2021,06/30/2023,0.000,,-1.5083,,0.963,,0.6621,,1.060,,0.3876,,0.346,,-0.3219,,0.000,,-1.5383,,01/01/2022,12/31/2023,-0.4413,,No,
ANDALUSIA HEALTH,010036,AL,2025,0.9369,,-0.3751,,07/01/2021,06/30/2023,N/A,13,N/A,5,0.000,,-1.3928,,N/A,13,N/A,5,0.193,,-0.8626,,N/A,13,N/A,5,01/01/2022,12/31/2023,-0.8768,,No,
HUNTSVILLE HOSPITAL,010039,AL,2025,1.7076,,2.3656,,07/01/2021,06/30/2023,1.088,,0.7233,,0.699,,0.0988,,0.736,,-0.1754,,0.763,,1.1518,,1.259,,0.8427,,01/01/2022,12/31/2023,0.8345,,Yes,
