"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
010001,MSPB-1,1.025230,,01/01/2023,12/31/2023
010005,MSPB-1,1.004523,,01/01/2023,12/31/2023
010006,MSPB-1,1.024099,,01/01/2023,12/31/2023
010007,MSPB-1,1.016436,,01/01/2023,12/31/2023
010008,MSPB-1,1.065801,,01/01/2023,12/31/2023
010011,MSPB-1,1.020020,,01/01/2023,12/31/2023
010012,MSPB-1,1.007069,,01/01/2023,12/31/2023
010016,MSPB-1,1.049698,,01/01/2023,12/31/2023
010018,MSPB-1,N/A,1,01/01/2023,12/31/2023
010019,MSPB-1,1.109883,,01/01/2023,12/31/2023
010021,MSPB-1,1.079705,,01/01/2023,12/31/2023
010022,MSPB-1,1.118113,,01/01/2023,12/31/2023
010023,MSPB-1,1.029375,,01/01/2023,12/31/2023
010024,MSPB-1,1.029680,,01/01/2023,12/31/2023
010029,MSPB-1,0.957691,,01/01/2023,12/31/2023
010033,MSPB-1,0.964416,,01/01/2023,12/31/2023
010034,MSPB-1,0.915872,,01/01/2023,12/31/2023
010035,MSPB-1,0.973862,,01/01/2023,12/31/2023
010036,MSPB-1,0.997919,,01/01/2023,12/31/2023
010039,MSPB-1,1.024631,,01/01/2023,12/31/2023
010040,MSPB-1,1.050549,,01/01/2023,12/31/2023
010044,MSPB-1,0.955128,,01/01/2023,12/31/2023
010045,MSPB-1,0.993375,,01/01/2023,12/31/2023
010046,MSPB-1,0.976624,,01/01/2023,12/31/2023
010049,MSPB-1,0.954057,,01/01/2023,12/31/2023
010051,MSPB-1,N/A,1,01/01/2023,12/31/2023
010052,MSPB-1,0.989517,,01/01/2023,12/31/2023
010055,MSPB-1,1.004271,,01/01/2023,12/31/2023
010056,MSPB-1,0.981959,,01/01/2023,12/31/2023
010058,MSPB-1,1.038268,,01/01/2023,12/31/2023
010059,MSPB-1,0.879204,,01/01/2023,12/31/2023
010061,MSPB-1,1.021731,,01/01/2023,12/31/2023
010062,MSPB-1,0.956552,,01/01/2023,12/31/2023
010065,MSPB-1,0.892246,,01/01/2023,12/31/2023
010069,MSPB-1,1.012580,,01/01/2023,12/31/2023
010073,MSPB-1,0.941825,,01/01/2023,12/31/2023
010078,MSPB-1,1.071867,,01/01/2023,12/31/2023
010079,MSPB-1,1.074813,,01/01/2023,12/31/2023
010083,MSPB-1,0.948033,,01/01/2023,12/31/2023
010085,MSPB-1,0.956724,,01/01/2023,12/31/2023
010086,MSPB-1,0.997361,,01/01/2023,12/31/2023
010087,MSPB-1,0.990286,,01/01/2023,12/31/2023
010089,MSPB-1,0.954844,,01/01/2023,12/31/2023
010090,MSPB-1,0.979796,,01/01/2023,12/31/2023
010091,MSPB-1,N/A,1,01/01/2023,12/31/2023
010092,MSPB-1,0.982906,,01/01/2023,12/31/2023
010095,MSPB-1,1.046912,,01/01/2023,12/31/2023
010097,MSPB-1,0.829462,,01/01/2023,12/31/2023
010099,MSPB-1,1.002452,,01/01/2023,12/31/2023
010100,MSPB-1,0.958428,,01/01/2023,12/31/2023
