"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.497,,10/01/2023,09/30/2024
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.176,,10/01/2023,09/30/2024
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.783,,10/01/2023,09/30/2024
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.458,,10/01/2023,09/30/2024
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.133,,10/01/2023,09/30/2024
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.739,,10/01/2023,09/30/2024
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.692,,10/01/2023,09/30/2024
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.710,,10/01/2023,09/30/2024
AK,HAI_3_SIR,SSI - Colon Surgery,1.116,,10/01/2023,09/30/2024
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.020,,10/01/2023,09/30/2024
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.963,,10/01/2023,09/30/2024
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.398,,10/01/2023,09/30/2024
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.315,,10/01/2023,09/30/2024
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.041,,10/01/2023,09/30/2024
AK,HAI_5_SIR,MRSA Bacteremia,0.599,,10/01/2023,09/30/2024
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.259,,10/01/2023,09/30/2024
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.495,,10/01/2023,09/30/2024
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.363,,10/01/2023,09/30/2024
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.701,,10/01/2023,09/30/2024
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.908,,10/01/2023,09/30/2024
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.800,,10/01/2023,09/30/2024
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.474,,10/01/2023,09/30/2024
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.605,,10/01/2023,09/30/2024
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.537,,10/01/2023,09/30/2024
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.613,,10/01/2023,09/30/2024
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.867,,10/01/2023,09/30/2024
AL,HAI_3_SIR,SSI - Colon Surgery,0.732,,10/01/2023,09/30/2024
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.460,,10/01/2023,09/30/2024
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.863,,10/01/2023,09/30/2024
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.637,,10/01/2023,09/30/2024
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.800,,10/01/2023,09/30/2024
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.066,,10/01/2023,09/30/2024
AL,HAI_5_SIR,MRSA Bacteremia,0.926,,10/01/2023,09/30/2024
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.461,,10/01/2023,09/30/2024
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.531,,10/01/2023,09/30/2024
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.495,,10/01/2023,09/30/2024
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.530,,10/01/2023,09/30/2024
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.755,,10/01/2023,09/30/2024
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.635,,10/01/2023,09/30/2024
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.332,,10/01/2023,09/30/2024
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.487,,10/01/2023,09/30/2024
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.404,,10/01/2023,09/30/2024
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.903,,10/01/2023,09/30/2024
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.328,,10/01/2023,09/30/2024
AR,HAI_3_SIR,SSI - Colon Surgery,1.100,,10/01/2023,09/30/2024
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.619,,10/01/2023,09/30/2024
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.495,,10/01/2023,09/30/2024
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.985,,10/01/2023,09/30/2024
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.883,,10/01/2023,09/30/2024
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.278,,10/01/2023,09/30/2024
AR,HAI_5_SIR,MRSA Bacteremia,1.067,,10/01/2023,09/30/2024
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.282,,10/01/2023,09/30/2024
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.365,,10/01/2023,09/30/2024
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.321,,10/01/2023,09/30/2024
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,10/01/2023,09/30/2024
