"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,Hours of physical-restraint use,Not Available,Not Available,Not Available,5,Hours of seclusion use,Not Available,Not Available,Not Available,5,Screening for metabolic disorders (SMD),9,187,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,5,22,,5,22,,Tobacco use treatment provided or offered at discharge,0,33,,0,33,,Transition record with specified elements received by discharged patients (TR1),83,288,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,53.6,69,,39.1,69,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,87.7,81,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,138,23.7,18.5,30.0,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),88,56,,10/01/2023,03/31/2024
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,Hours of physical-restraint use,0.00,0,3986,,Hours of seclusion use,0.00,0,3986,,Screening for metabolic disorders (SMD),100,205,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,89,19,,58,19,,Transition record with specified elements received by discharged patients (TR1),100,225,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,145,16,11.8,21.2,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),99,99,,10/01/2023,03/31/2024
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,Hours of physical-restraint use,0.00,0,7091,,Hours of seclusion use,0.00,0,7091,,Screening for metabolic disorders (SMD),95,422,,Alcohol use brief intervention provided or offered,86,29,,86,29,,Alcohol and other drug use disorder treatment provided or offered at discharge,90,78,,90,78,,Tobacco use treatment provided or offered at discharge,79,108,,79,108,,Transition record with specified elements received by discharged patients (TR1),94,584,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,85,21,15.8,27.2,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),100,287,,10/01/2023,03/31/2024
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Hours of physical-restraint use,0.00,0,4013,,Hours of seclusion use,0.00,0,4013,,Screening for metabolic disorders (SMD),19,80,,Alcohol use brief intervention provided or offered,16,19,,17,18,,Alcohol and other drug use disorder treatment provided or offered at discharge,84,19,,84,19,,Tobacco use treatment provided or offered at discharge,47,32,,47,32,,Transition record with specified elements received by discharged patients (TR1),0,131,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,70,,10/01/2023,03/31/2024
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,Hours of physical-restraint use,0.06,15.53,11524,,Hours of seclusion use,0.86,238.72,11524,,Screening for metabolic disorders (SMD),96,350,,Alcohol use brief intervention provided or offered,89,113,,70,107,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,239,,97,239,,Tobacco use treatment provided or offered at discharge,49,189,,12,189,,Transition record with specified elements received by discharged patients (TR1),77,631,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,70.5,78,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,104,20.5,15.9,26.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,306,,10/01/2023,03/31/2024
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,Hours of physical-restraint use,0.20,162.03,33980,,Hours of seclusion use,1.49,1217.11,33980,,Screening for metabolic disorders (SMD),89,372,,Alcohol use brief intervention provided or offered,96,274,,100,263,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,235,,100,235,,Tobacco use treatment provided or offered at discharge,93,175,,0,175,,Transition record with specified elements received by discharged patients (TR1),97,716,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,38.4,73,,23.3,73,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78.1,105,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,207,21.5,17.6,26.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,347,,10/01/2023,03/31/2024
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Hours of physical-restraint use,Not Available,Not Available,Not Available,7,Hours of seclusion use,Not Available,Not Available,Not Available,7,Screening for metabolic disorders (SMD),92,60,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,0,13,,0,13,,Transition record with specified elements received by discharged patients (TR1),56,100,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,1,Not Available,Not Available,1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,49,20.9,14.5,29.0,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,38,,10/01/2023,03/31/2024
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,Hours of physical-restraint use,0.00,0,10890,,Hours of seclusion use,0.00,0,10890,,Screening for metabolic disorders (SMD),85,459,,Alcohol use brief intervention provided or offered,98,109,,52,107,,Alcohol and other drug use disorder treatment provided or offered at discharge,32,181,,30,181,,Tobacco use treatment provided or offered at discharge,73,247,,0,247,,Transition record with specified elements received by discharged patients (TR1),100,600,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.8,114,,29.8,114,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.8,178,,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,273,20.5,16.9,25.1,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),92,294,,10/01/2023,03/31/2024
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,Hours of physical-restraint use,0.05,19.42,16434,,Hours of seclusion use,0.00,1.5,16434,,Screening for metabolic disorders (SMD),91,253,,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,13,15,,0,15,,Transition record with specified elements received by discharged patients (TR1),6,312,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.9,41,,29.3,41,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,102,19.2,14.2,26.0,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),89,138,,10/01/2023,03/31/2024
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,Hours of physical-restraint use,0.00,0,4455,,Hours of seclusion use,0.00,0,4455,,Screening for metabolic disorders (SMD),98,158,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),96,274,,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,44.4,45,,31.1,45,,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,64,16.7,12.0,23.4,,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,119,,10/01/2023,03/31/2024
