"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,92,7,1,96,84,13,3,94,82,16,2,93,62064,15283,25,10/01/2023,09/30/2024
Alaska,94,5,1,97,91,7,2,95,82,13,5,92,80,16,4,92,4865,686,15,10/01/2023,09/30/2024
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96,3,1,98,90,8,2,94,82,14,4,93,78,19,3,91,21519,5597,26,10/01/2023,09/30/2024
Arkansas,97,3,0,98,91,7,2,95,84,13,3,94,79,18,3,92,43857,9533,22,10/01/2023,09/30/2024
California,96,3,1,98,90,8,2,94,85,12,3,94,82,15,3,92,378705,93596,25,10/01/2023,09/30/2024
Colorado,97,3,0,98,92,7,1,95,87,11,2,94,83,15,2,93,90922,19402,21,10/01/2023,09/30/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,92,6,2,95,86,11,3,94,84,14,2,94,38119,8942,24,10/01/2023,09/30/2024
Delaware,97,3,0,98,92,7,1,95,86,12,2,94,82,16,2,93,15676,3128,20,10/01/2023,09/30/2024
District of Columbia,94,5,1,97,90,8,2,94,81,15,4,92,80,16,4,91,16679,2838,17,10/01/2023,09/30/2024
Florida,97,2,1,98,91,7,2,95,87,10,3,94,85,12,3,93,351374,81601,23,10/01/2023,09/30/2024
Georgia,97,3,0,98,92,6,2,95,87,11,2,95,84,14,2,93,106514,20468,20,10/01/2023,09/30/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,91,7,2,95,82,15,3,93,80,17,3,92,18569,5301,29,10/01/2023,09/30/2024
Idaho,97,3,0,98,92,7,1,95,84,13,3,93,80,18,2,92,25484,5538,25,10/01/2023,09/30/2024
Illinois,97,3,0,98,92,7,1,96,86,12,2,94,81,17,2,93,137129,30154,22,10/01/2023,09/30/2024
Indiana,98,2,0,99,93,6,1,96,89,9,2,95,83,15,2,94,26291,7146,27,10/01/2023,09/30/2024
Iowa,98,2,0,99,93,6,1,96,87,11,2,94,83,15,2,93,27750,8236,30,10/01/2023,09/30/2024
Kansas,97,3,0,99,93,6,1,96,86,12,2,94,81,17,2,93,55271,12710,24,10/01/2023,09/30/2024
Kentucky,96,4,0,98,91,8,1,95,84,13,3,93,79,19,2,92,77516,17376,23,10/01/2023,09/30/2024
Louisiana,97,3,0,99,93,6,1,96,89,9,2,95,87,11,2,95,45323,9812,22,10/01/2023,09/30/2024
Maine,98,2,0,99,94,5,1,97,86,11,3,94,82,16,2,93,57128,14384,25,10/01/2023,09/30/2024
Maryland,97,3,0,98,92,7,1,95,85,12,3,94,82,15,3,92,62185,13641,22,10/01/2023,09/30/2024
Massachusetts,97,3,0,98,91,8,1,95,85,13,2,94,82,16,2,93,39047,9326,24,10/01/2023,09/30/2024
Michigan,97,3,0,98,92,6,2,95,84,13,3,93,79,18,3,92,86147,19408,23,10/01/2023,09/30/2024
Minnesota,97,3,0,99,92,7,1,96,87,11,2,94,83,16,1,94,47296,13238,29,10/01/2023,09/30/2024
Mississippi,96,4,0,98,92,7,1,96,85,13,2,94,82,16,2,93,28196,5771,21,10/01/2023,09/30/2024
Missouri,97,3,0,98,92,7,1,95,86,11,3,94,80,18,2,92,35753,8258,24,10/01/2023,09/30/2024
Montana,97,3,0,98,93,5,2,96,85,13,2,94,81,17,2,93,29625,7060,24,10/01/2023,09/30/2024
Nebraska,97,3,0,99,92,7,1,96,87,11,2,94,82,16,2,93,21489,6789,32,10/01/2023,09/30/2024
