"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,OP_10,Abdomen CT Use of Contrast Material,4.6,,07/01/2023,06/30/2024
AK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2023,06/30/2024
AK,OP_39,Breast Cancer Screening Recall Rates,7.6,,07/01/2023,06/30/2024
AK,OP_8,MRI Lumbar Spine for Low Back Pain,36.8,,07/01/2023,06/30/2024
AL,OP_10,Abdomen CT Use of Contrast Material,9.1,,07/01/2023,06/30/2024
AL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2023,06/30/2024
AL,OP_39,Breast Cancer Screening Recall Rates,6.9,,07/01/2023,06/30/2024
AL,OP_8,MRI Lumbar Spine for Low Back Pain,40.3,,07/01/2023,06/30/2024
AR,OP_10,Abdomen CT Use of Contrast Material,8,,07/01/2023,06/30/2024
AR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,2.9,,07/01/2023,06/30/2024
AR,OP_39,Breast Cancer Screening Recall Rates,8.1,,07/01/2023,06/30/2024
AR,OP_8,MRI Lumbar Spine for Low Back Pain,37.5,,07/01/2023,06/30/2024
AS,OP_10,Abdomen CT Use of Contrast Material,Not Available,5,07/01/2023,06/30/2024
AS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5,07/01/2023,06/30/2024
AS,OP_39,Breast Cancer Screening Recall Rates,Not Available,5,07/01/2023,06/30/2024
AS,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5,07/01/2023,06/30/2024
AZ,OP_10,Abdomen CT Use of Contrast Material,4.3,,07/01/2023,06/30/2024
AZ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.1,,07/01/2023,06/30/2024
AZ,OP_39,Breast Cancer Screening Recall Rates,6.8,,07/01/2023,06/30/2024
AZ,OP_8,MRI Lumbar Spine for Low Back Pain,39.2,,07/01/2023,06/30/2024
CA,OP_10,Abdomen CT Use of Contrast Material,5.7,,07/01/2023,06/30/2024
CA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.1,,07/01/2023,06/30/2024
CA,OP_39,Breast Cancer Screening Recall Rates,9,,07/01/2023,06/30/2024
CA,OP_8,MRI Lumbar Spine for Low Back Pain,37.1,,07/01/2023,06/30/2024
CO,OP_10,Abdomen CT Use of Contrast Material,5,,07/01/2023,06/30/2024
CO,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2023,06/30/2024
