"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","MORT-30-AMI Achievement Threshold","MORT-30-AMI Benchmark","MORT-30-AMI Baseline Rate","MORT-30-AMI Performance Rate","MORT-30-AMI Achievement Points","MORT-30-AMI Improvement Points","MORT-30-AMI Measure Score","MORT-30-HF Achievement Threshold","MORT-30-HF Benchmark","MORT-30-HF Baseline Rate","MORT-30-HF Performance Rate","MORT-30-HF Achievement Points","MORT-30-HF Improvement Points","MORT-30-HF Measure Score","MORT-30-PN Achievement Threshold","MORT-30-PN Benchmark","MORT-30-PN Baseline Rate","MORT-30-PN Performance Rate","MORT-30-PN Achievement Points","MORT-30-PN Improvement Points","MORT-30-PN Measure Score","MORT-30-COPD Achievement Threshold","MORT-30-COPD Benchmark","MORT-30-COPD Baseline Rate","MORT-30-COPD Performance Rate","MORT-30-COPD Achievement Points","MORT-30-COPD Improvement Points","MORT-30-COPD Measure Score","MORT-30-CABG Achievement Threshold","MORT-30-CABG Benchmark","MORT-30-CABG Baseline Rate","MORT-30-CABG Performance Rate","MORT-30-CABG Achievement Points","MORT-30-CABG Improvement Points","MORT-30-CABG Measure Score","COMP-HIP-KNEE Achievement Threshold","COMP-HIP-KNEE Benchmark","COMP-HIP-KNEE Baseline Rate","COMP-HIP-KNEE Performance Rate","COMP-HIP-KNEE Achievement Points","COMP-HIP-KNEE Improvement Points","COMP-HIP-KNEE Measure Score"
2025,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,0.872624,0.889994,0.870378,0.891434,10 out of 10,9 out of 9,10 out of 10,0.883990,0.910344,0.867977,0.889995,3 out of 10,5 out of 9,5 out of 10,0.841475,0.874425,0.828258,0.809979,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.906674,0.916433,1 out of 10,3 out of 9,3 out of 10,0.970100,0.979775,0.957493,0.961994,0 out of 10,2 out of 9,2 out of 10,0.025332,0.017946,0.031821,0.025224,1 out of 10,4 out of 9,4 out of 10
2025,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,0.872624,0.889994,0.853902,0.854872,0 out of 10,0 out of 9,0 out of 10,0.883990,0.910344,0.841487,0.875299,0 out of 10,4 out of 9,4 out of 10,0.841475,0.874425,0.794646,0.765781,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.893542,0.908805,0 out of 10,3 out of 9,3 out of 10,0.970100,0.979775,Not Available,Not Available,Not Available,Not Available,Not Available,0.025332,0.017946,0.027773,0.023182,3 out of 10,4 out of 9,4 out of 10
2025,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,0.872624,0.889994,0.848032,0.837959,0 out of 10,0 out of 9,0 out of 10,0.883990,0.910344,0.875703,0.864215,0 out of 10,0 out of 9,0 out of 10,0.841475,0.874425,0.827779,0.802932,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.893650,0.897617,0 out of 10,1 out of 9,1 out of 10,0.970100,0.979775,0.954109,0.948200,0 out of 10,0 out of 9,0 out of 10,0.025332,0.017946,0.026375,0.035560,0 out of 10,0 out of 9,0 out of 10
2025,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,0.872624,0.889994,Not Available,Not Available,Not Available,Not Available,Not Available,0.883990,0.910344,0.860561,0.858036,0 out of 10,0 out of 9,0 out of 10,0.841475,0.874425,0.784502,0.712459,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.907509,0.865440,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,Not Available,Not Available,Not Available,Not Available,Not Available,0.025332,0.017946,0.027673,0.028851,0 out of 10,0 out of 9,0 out of 10
2025,010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,0.872624,0.889994,0.853761,0.869632,0 out of 10,4 out of 9,4 out of 10,0.883990,0.910344,0.891471,0.849535,0 out of 10,0 out of 9,0 out of 10,0.841475,0.874425,0.825485,0.770239,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.893859,0.891889,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,0.969736,0.978976,9 out of 10,9 out of 9,9 out of 10,0.025332,0.017946,0.028693,0.028957,0 out of 10,0 out of 9,0 out of 10
2025,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,0.872624,0.889994,0.842805,0.870927,0 out of 10,5 out of 9,5 out of 10,0.883990,0.910344,0.840662,0.855884,0 out of 10,2 out of 9,2 out of 10,0.841475,0.874425,0.804465,0.764144,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.918197,0.908998,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,Not Available,Not Available,Not Available,Not Available,Not Available,0.025332,0.017946,Not Available,0.033951,0 out of 10,Not Available,0 out of 10
2025,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,0.872624,0.889994,0.857250,0.867347,0 out of 10,3 out of 9,3 out of 10,0.883990,0.910344,0.867700,0.892394,3 out of 10,5 out of 9,5 out of 10,0.841475,0.874425,0.843491,0.812357,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.911764,0.907301,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,0.965647,0.976602,7 out of 10,7 out of 9,7 out of 10,0.025332,0.017946,0.022046,0.034786,0 out of 10,0 out of 9,0 out of 10
2025,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,0.872624,0.889994,0.858990,0.877767,3 out of 10,6 out of 9,6 out of 10,0.883990,0.910344,0.857788,0.828425,0 out of 10,0 out of 9,0 out of 10,0.841475,0.874425,0.839034,0.753865,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.931420,0.903145,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,Not Available,Not Available,Not Available,Not Available,Not Available,0.025332,0.017946,0.020299,0.033933,0 out of 10,0 out of 9,0 out of 10
2025,010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,0.872624,0.889994,Not Available,Not Available,Not Available,Not Available,Not Available,0.883990,0.910344,0.882304,0.863595,0 out of 10,0 out of 9,0 out of 10,0.841475,0.874425,0.861031,0.818897,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.925647,0.893820,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,Not Available,Not Available,Not Available,Not Available,Not Available,0.025332,0.017946,Not Available,Not Available,Not Available,Not Available,Not Available
2025,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,0.872624,0.889994,0.879174,0.866543,0 out of 10,0 out of 9,0 out of 10,0.883990,0.910344,0.884116,0.887033,2 out of 10,1 out of 9,2 out of 10,0.841475,0.874425,0.791285,0.793475,0 out of 10,0 out of 9,0 out of 10,0.915127,0.932236,0.895678,0.888611,0 out of 10,0 out of 9,0 out of 10,0.970100,0.979775,0.952545,0.972972,3 out of 10,7 out of 9,7 out of 10,0.025332,0.017946,0.026431,0.030924,0 out of 10,0 out of 9,0 out of 10
