"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Communication With Nurses Floor","Communication With Nurses Achievement Threshold","Communication With Nurses Benchmark","Communication With Nurses Baseline Rate","Communication With Nurses Performance Rate","Communication With Nurses Achievement Points","Communication With Nurses Improvement Points","Communication With Nurses Dimension Score","Communication With Doctors Floor","Communication With Doctors Achievement Threshold","Communication With Doctors Benchmark","Communication With Doctors Baseline Rate","Communication With Doctors Performance Rate","Communication With Doctors Achievement Points","Communication With Doctors Improvement Points","Communication With Doctors Dimension Score","Responsiveness Of Hospital Staff Floor","Responsiveness Of Hospital Staff Achievement Threshold","Responsiveness Of Hospital Staff Benchmark","Responsiveness Of Hospital Staff Baseline Rate","Responsiveness Of Hospital Staff Performance Rate","Responsiveness Of Hospital Staff Achievement Points","Responsiveness Of Hospital Staff Improvement Points","Responsiveness Of Hospital Staff Dimension Score","Care Transition Floor","Care Transition Achievement Threshold","Care Transition Benchmark","Care Transition Baseline Rate","Care Transition Performance Rate","Care Transition Achievement Points","Care Transition Improvement Points","Care Transition Dimension Score","Communication About Medicines Floor","Communication About Medicines Achievement Threshold","Communication About Medicines Benchmark","Communication About Medicines Baseline Rate","Communication About Medicines Performance Rate","Communication About Medicines Achievement Points","Communication About Medicines Improvement Points","Communication About Medicines Dimension Score","Cleanliness And Quietness Of Hospital Environment Floor","Cleanliness And Quietness Of Hospital Environment Achievement Threshold","Cleanliness And Quietness Of Hospital Environment Benchmark","Cleanliness And Quietness Of Hospital Environment Baseline Rate","Cleanliness And Quietness Of Hospital Environment Performance Rate","Cleanliness And Quietness Of Hospital Environment Achievement Points","Cleanliness And Quietness Of Hospital Environment Improvement Points","Cleanliness And Quietness Of Hospital Environment Dimension Score","Discharge Information Floor","Discharge Information Achievement Threshold","Discharge Information Benchmark","Discharge Information Baseline Rate","Discharge Information Performance Rate","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating Of Hospital Floor","Overall Rating Of Hospital Achievement Threshold","Overall Rating Of Hospital Benchmark","Overall Rating Of Hospital Baseline Rate","Overall Rating Of Hospital Performance Rate","Overall Rating Of Hospital Achievement Points","Overall Rating Of Hospital Improvement Points","Overall Rating Of Hospital Dimension Score","Hcahps Base Score","Hcahps Consistency Score"
2025,010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,53.50%,79.42%,87.71%,77.4970%,71.9334%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,80.2871%,77.9206%,0 out of 10,0 out of 9,0,40.40%,65.52%,81.22%,66.3995%,58.5795%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,52.7031%,52.1846%,1 out of 10,0 out of 9,1,39.82%,63.11%,74.05%,65.2044%,55.7201%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,68.9052%,65.5343%,0 out of 10,0 out of 9,0,66.92%,87.23%,92.21%,89.5346%,86.0679%,0 out of 10,0 out of 9,0,36.31%,71.66%,85.39%,71.7905%,71.4477%,0 out of 10,0 out of 9,0,1,13
2025,010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,53.50%,79.42%,87.71%,78.3784%,78.0021%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,84.9463%,81.0637%,2 out of 10,0 out of 9,2,40.40%,65.52%,81.22%,64.4797%,53.4205%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,47.8347%,49.5551%,0 out of 10,1 out of 9,1,39.82%,63.11%,74.05%,68.3584%,60.9894%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,68.1608%,67.0973%,1 out of 10,0 out of 9,1,66.92%,87.23%,92.21%,89.9947%,86.7726%,0 out of 10,0 out of 9,0,36.31%,71.66%,85.39%,71.4240%,69.0969%,0 out of 10,0 out of 9,0,4,10
2025,010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,53.50%,79.42%,87.71%,77.8473%,73.1929%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,81.9974%,74.5328%,0 out of 10,0 out of 9,0,40.40%,65.52%,81.22%,55.6354%,50.5266%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,48.0905%,41.0508%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,61.9801%,51.3009%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,69.8706%,62.7620%,0 out of 10,0 out of 9,0,66.92%,87.23%,92.21%,84.3397%,83.0819%,0 out of 10,0 out of 9,0,36.31%,71.66%,85.39%,68.9040%,59.6486%,0 out of 10,0 out of 9,0,0,8
2025,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,53.50%,79.42%,87.71%,79.7966%,79.7419%,1 out of 10,0 out of 9,1,62.41%,79.83%,87.97%,85.5056%,83.9992%,5 out of 10,0 out of 9,5,40.40%,65.52%,81.22%,70.8823%,67.7718%,2 out of 10,0 out of 9,2,25.64%,51.84%,63.57%,56.0550%,49.4114%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,68.6057%,61.0448%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,72.9804%,65.2931%,0 out of 10,0 out of 9,0,66.92%,87.23%,92.21%,89.9143%,94.1733%,10 out of 10,9 out of 9,10,36.31%,71.66%,85.39%,69.5987%,72.7940%,1 out of 10,2 out of 9,2,20,18
2025,010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,53.50%,79.42%,87.71%,77.8259%,77.2993%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,80.9933%,78.2546%,0 out of 10,0 out of 9,0,40.40%,65.52%,81.22%,69.4084%,64.3881%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,52.4186%,48.6381%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,63.7829%,55.4861%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,65.2349%,60.9864%,0 out of 10,0 out of 9,0,66.92%,87.23%,92.21%,87.7513%,86.6219%,0 out of 10,0 out of 9,0,36.31%,71.66%,85.39%,72.0017%,65.6112%,0 out of 10,0 out of 9,0,0,13
2025,010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DEKALB,53.50%,79.42%,87.71%,73.1557%,84.7421%,6 out of 10,7 out of 9,7,62.41%,79.83%,87.97%,79.7372%,85.5276%,7 out of 10,7 out of 9,7,40.40%,65.52%,81.22%,61.4632%,65.5475%,1 out of 10,2 out of 9,2,25.64%,51.84%,63.57%,40.9297%,44.2729%,0 out of 10,1 out of 9,1,39.82%,63.11%,74.05%,58.3360%,65.9518%,3 out of 10,4 out of 9,4,45.94%,65.63%,79.64%,68.0129%,66.9838%,1 out of 10,0 out of 9,1,66.92%,87.23%,92.21%,84.6437%,87.5942%,1 out of 10,3 out of 9,3,36.31%,71.66%,85.39%,58.2979%,64.0383%,0 out of 10,2 out of 9,2,27,14
2025,010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,53.50%,79.42%,87.71%,75.9814%,75.2036%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,78.9940%,78.5467%,0 out of 10,0 out of 9,0,40.40%,65.52%,81.22%,64.8668%,54.9548%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,48.6333%,46.3187%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,63.7079%,57.7221%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,63.5913%,58.9762%,0 out of 10,0 out of 9,0,66.92%,87.23%,92.21%,85.7608%,82.0431%,0 out of 10,0 out of 9,0,36.31%,71.66%,85.39%,70.4509%,62.3219%,0 out of 10,0 out of 9,0,0,11
2025,010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,53.50%,79.42%,87.71%,82.3635%,82.3881%,4 out of 10,0 out of 9,4,62.41%,79.83%,87.97%,85.8915%,81.7786%,3 out of 10,0 out of 9,3,40.40%,65.52%,81.22%,65.0213%,63.8261%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,51.1651%,50.3858%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,68.8407%,58.0299%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,70.0698%,69.6136%,3 out of 10,0 out of 9,3,66.92%,87.23%,92.21%,86.4841%,86.7653%,0 out of 10,0 out of 9,0,36.31%,71.66%,85.39%,76.8592%,76.7219%,4 out of 10,0 out of 9,4,14,15
2025,010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,53.50%,79.42%,87.71%,83.1631%,78.8018%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,83.9114%,88.0225%,10 out of 10,9 out of 9,10,40.40%,65.52%,81.22%,79.4504%,73.9968%,5 out of 10,0 out of 9,5,25.64%,51.84%,63.57%,55.9292%,50.8379%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,66.6186%,62.0766%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,74.5178%,76.1190%,7 out of 10,3 out of 9,7,66.92%,87.23%,92.21%,84.8175%,89.5901%,5 out of 10,6 out of 9,6,36.31%,71.66%,85.39%,77.3394%,73.9984%,2 out of 10,0 out of 9,2,30,19
2025,010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,53.50%,79.42%,87.71%,80.2171%,73.9228%,0 out of 10,0 out of 9,0,62.41%,79.83%,87.97%,78.5879%,76.0731%,0 out of 10,0 out of 9,0,40.40%,65.52%,81.22%,66.8200%,62.3074%,0 out of 10,0 out of 9,0,25.64%,51.84%,63.57%,48.7615%,48.0708%,0 out of 10,0 out of 9,0,39.82%,63.11%,74.05%,62.2520%,53.5743%,0 out of 10,0 out of 9,0,45.94%,65.63%,79.64%,69.8618%,63.3109%,0 out of 10,0 out of 9,0,66.92%,87.23%,92.21%,85.1788%,86.0424%,0 out of 10,1 out of 9,1,36.31%,71.66%,85.39%,73.3509%,68.8255%,0 out of 10,0 out of 9,0,1,11
