"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","HAI-1 Achievement Threshold","HAI-1 Benchmark","HAI-1 Baseline Rate","HAI-1 Performance Rate","HAI-1 Achievement Points","HAI-1 Improvement Points","HAI-1 Measure Score","HAI-2 Achievement Threshold","HAI-2 Benchmark","HAI-2 Baseline Rate","HAI-2 Performance Rate","HAI-2 Achievement Points","HAI-2 Improvement Points","HAI-2 Measure Score","Combined SSI Measure Score","HAI-3 Achievement Threshold","HAI-3 Benchmark","HAI-3 Baseline Rate","HAI-3 Performance Rate","HAI-3 Achievement Points","HAI-3 Improvement Points","HAI-3 Measure Score","HAI-4 Achievement Threshold","HAI-4 Benchmark","HAI-4 Baseline Rate","HAI-4 Performance Rate","HAI-4 Achievement Points","HAI-4 Improvement Points","HAI-4 Measure Score","HAI-5 Achievement Threshold","HAI-5 Benchmark","HAI-5 Baseline Rate","HAI-5 Performance Rate","HAI-5 Achievement Points","HAI-5 Improvement Points","HAI-5 Measure Score","HAI-6 Achievement Threshold","HAI-6 Benchmark","HAI-6 Baseline Rate","HAI-6 Performance Rate","HAI-6 Achievement Points","HAI-6 Improvement Points","HAI-6 Measure Score"
2025,190044,ACADIA GENERAL HOSPITAL,1305 CROWLEY RAYNE HIGHWAY,CROWLEY,LA,70526,ACADIA,0.589,0.000,0.759,0.719,0 out of 10,0 out of 9,0 out of 10,0.650,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0 out of 10,0.717,0.000,Not Available,2.004,0 out of 10,Not Available,0 out of 10,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.520,0.014,1.079,0.745,0 out of 10,3 out of 9,3 out of 10
2025,490037,RIVERSIDE SHORE MEMORIAL HOSPITAL,20480 MARKET STREET,ONANCOCK,VA,23417,ACCOMACK,0.589,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.650,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.717,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.520,0.014,0.253,0.000,10 out of 10,9 out of 9,10 out of 10
2025,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ADA,0.589,0.000,0.317,0.263,5 out of 10,1 out of 9,5 out of 10,0.650,0.000,0.823,0.971,0 out of 10,0 out of 9,0 out of 10,3 out of 10,0.717,0.000,1.082,0.724,0 out of 10,3 out of 9,3 out of 10,0.738,0.000,0.452,0.920,0 out of 10,0 out of 9,0 out of 10,0.726,0.000,0.338,0.264,6 out of 10,2 out of 9,6 out of 10,0.520,0.014,0.439,0.512,1 out of 10,0 out of 9,1 out of 10
2025,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ADA,0.589,0.000,0.839,0.681,0 out of 10,1 out of 9,1 out of 10,0.650,0.000,0.755,0.888,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0.000,1.392,1.262,0 out of 10,0 out of 9,0 out of 10,0.738,0.000,0.840,1.178,0 out of 10,0 out of 9,0 out of 10,0.726,0.000,0.351,0.336,5 out of 10,0 out of 9,5 out of 10,0.520,0.014,0.879,0.567,0 out of 10,3 out of 9,3 out of 10
2025,260022,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,0.589,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.650,0.000,0.746,0.000,10 out of 10,9 out of 9,10 out of 10,Not Available,0.717,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.520,0.014,0.799,0.525,0 out of 10,3 out of 9,3 out of 10
2025,390065,GETTYSBURG HOSPITAL,147 GETTYS STREET,GETTYSBURG,PA,17325,ADAMS,0.589,0.000,0.000,0.781,0 out of 10,0 out of 9,0 out of 10,0.650,0.000,0.578,1.384,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0.000,0.574,2.086,0 out of 10,0 out of 9,0 out of 10,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,Not Available,1.704,0 out of 10,Not Available,0 out of 10,0.520,0.014,0.711,0.406,3 out of 10,4 out of 9,4 out of 10
2025,250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,ADAMS,0.589,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.650,0.000,0.000,Not Available,Not Available,Not Available,Not Available,10 out of 10,0.717,0.000,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.520,0.014,0.206,0.929,0 out of 10,0 out of 9,0 out of 10
2025,140015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,ADAMS,0.589,0.000,0.928,0.600,0 out of 10,3 out of 9,3 out of 10,0.650,0.000,0.508,0.653,0 out of 10,0 out of 9,0 out of 10,0 out of 10,0.717,0.000,0.612,1.042,0 out of 10,0 out of 9,0 out of 10,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,0.627,0.486,3 out of 10,2 out of 9,3 out of 10,0.520,0.014,0.690,0.499,1 out of 10,2 out of 9,2 out of 10
2025,280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,HASTINGS,NE,68901,ADAMS,0.589,0.000,Not Available,0.000,10 out of 10,Not Available,10 out of 10,0.650,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,Not Available,0.717,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.520,0.014,0.505,0.694,0 out of 10,0 out of 9,0 out of 10
2025,060104,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PKWY,WESTMINSTER,CO,80023,ADAMS,0.589,0.000,0.986,0.459,2 out of 10,5 out of 9,5 out of 10,0.650,0.000,1.375,0.428,4 out of 10,6 out of 9,6 out of 10,0 out of 10,0.717,0.000,1.104,2.423,0 out of 10,0 out of 9,0 out of 10,0.738,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.726,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.520,0.014,0.352,0.218,6 out of 10,3 out of 9,6 out of 10
