"Fiscal Year","Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Unweighted Normalized Clinical Outcomes Domain Score","Weighted Normalized Clinical Outcomes Domain Score","Unweighted Person And Community Engagement Domain Score","Weighted Person And Community Engagement Domain Score","Unweighted Normalized Safety Domain Score","Weighted Safety Domain Score","Unweighted Normalized Efficiency And Cost Reduction Domain Score","Weighted Efficiency And Cost Reduction Domain Score","Total Performance Score"
2025,190044,ACADIA GENERAL HOSPITAL,1305 CROWLEY RAYNE HIGHWAY,CROWLEY,LA,70526,ACADIA,0.000000000000,0.000000000000,38.000000000000,9.500000000000,32.500000000000,8.125000000000,10.000000000000,2.500000000000,20.125000000000
2025,490037,RIVERSIDE SHORE MEMORIAL HOSPITAL,20480 MARKET STREET,ONANCOCK,VA,23417,ACCOMACK,2.500000000000,0.833333333333,53.000000000000,17.666666666667,Not Available,Not Available,50.000000000000,16.666666666667,35.166666666667
2025,130007,SAINT ALPHONSUS REGIONAL MEDICAL CENTER,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ADA,10.000000000000,2.500000000000,12.000000000000,3.000000000000,30.000000000000,7.500000000000,10.000000000000,2.500000000000,15.500000000000
2025,130006,ST LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,ADA,0.000000000000,0.000000000000,35.000000000000,8.750000000000,18.000000000000,4.500000000000,30.000000000000,7.500000000000,20.750000000000
2025,260022,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,15.000000000000,3.750000000000,11.000000000000,2.750000000000,65.000000000000,16.250000000000,50.000000000000,12.500000000000,35.250000000000
2025,390065,GETTYSBURG HOSPITAL,147 GETTYS STREET,GETTYSBURG,PA,17325,ADAMS,27.500000000000,6.875000000000,17.000000000000,4.250000000000,8.000000000000,2.000000000000,20.000000000000,5.000000000000,18.125000000000
2025,250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,ADAMS,0.000000000000,0.000000000000,13.000000000000,3.250000000000,50.000000000000,12.500000000000,0.000000000000,0.000000000000,15.750000000000
2025,140015,BLESSING HOSPITAL,1005 BROADWAY ST,QUINCY,IL,62301,ADAMS,13.333333333333,3.333333333333,21.000000000000,5.250000000000,16.000000000000,4.000000000000,20.000000000000,5.000000000000,17.583333333333
2025,280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,HASTINGS,NE,68901,ADAMS,0.000000000000,0.000000000000,15.000000000000,3.750000000000,66.666666666667,16.666666666667,30.000000000000,7.500000000000,27.916666666667
2025,060104,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,14300 ORCHARD PKWY,WESTMINSTER,CO,80023,ADAMS,22.500000000000,5.625000000000,21.000000000000,5.250000000000,54.000000000000,13.500000000000,20.000000000000,5.000000000000,29.375000000000
2025,060024,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,12605 E 16TH AVE,AURORA,CO,80045,ADAMS,31.666666666667,7.916666666667,12.000000000000,3.000000000000,36.000000000000,9.000000000000,10.000000000000,2.500000000000,22.416666666667
2025,060065,NORTH SUBURBAN MEDICAL CENTER,9191 GRANT ST,THORNTON,CO,80229,ADAMS,2.500000000000,0.625000000000,5.000000000000,1.250000000000,16.000000000000,4.000000000000,0.000000000000,0.000000000000,5.875000000000
2025,060004,INTERMOUNTAIN HEALTH PLATTE VALLEY HOSPITAL,1600 PRAIRIE CENTER PKWY,BRIGHTON,CO,80601,ADAMS,0.000000000000,0.000000000000,25.000000000000,6.250000000000,33.333333333333,8.333333333333,10.000000000000,2.500000000000,17.083333333333
2025,420082,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN,SC,29801,AIKEN,6.666666666667,1.666666666667,8.000000000000,2.000000000000,46.000000000000,11.500000000000,10.000000000000,2.500000000000,17.666666666667
2025,100204,HCA FLORIDA NORTH FLORIDA HOSPITAL,6500 W NEWBERRY RD,GAINESVILLE,FL,32605,ALACHUA,33.333333333333,8.333333333333,7.000000000000,1.750000000000,42.000000000000,10.500000000000,10.000000000000,2.500000000000,23.083333333333
2025,100113,UF HEALTH SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,32610,ALACHUA,26.666666666667,6.666666666667,20.000000000000,5.000000000000,30.000000000000,7.500000000000,0.000000000000,0.000000000000,19.166666666667
2025,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL RD,BURLINGTON,NC,27216,ALAMANCE,14.000000000000,3.500000000000,11.000000000000,2.750000000000,34.000000000000,8.500000000000,70.000000000000,17.500000000000,32.250000000000
2025,050211,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,ALAMEDA,CA,94501,ALAMEDA,6.666666666667,1.666666666667,11.000000000000,2.750000000000,82.500000000000,20.625000000000,0.000000000000,0.000000000000,25.041666666667
2025,050195,WASHINGTON HOSPITAL,2000 MOWRY AVE,FREMONT,CA,94538,ALAMEDA,1.666666666667,0.416666666667,16.000000000000,4.000000000000,66.000000000000,16.500000000000,10.000000000000,2.500000000000,23.416666666667
2025,050512,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PKWY,FREMONT,CA,94538,ALAMEDA,Not Available,Not Available,10.000000000000,3.333333333333,46.000000000000,15.333333333333,100.000000000000,33.333333333333,52.000000000000
2025,050488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,20.000000000000,5.000000000000,8.000000000000,2.000000000000,50.000000000000,12.500000000000,0.000000000000,0.000000000000,19.500000000000
2025,050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,ALAMEDA,Not Available,Not Available,13.000000000000,4.333333333333,44.000000000000,14.666666666667,70.000000000000,23.333333333333,42.333333333333
2025,050283,STANFORD HEALTH CARE - VALLEYCARE,5555 WEST LAS POSITAS BOULEVARD,PLEASANTON,CA,94588,ALAMEDA,25.000000000000,6.250000000000,19.000000000000,4.750000000000,30.000000000000,7.500000000000,0.000000000000,0.000000000000,18.500000000000
2025,050320,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,CA,94602,ALAMEDA,10.000000000000,2.500000000000,7.000000000000,1.750000000000,16.000000000000,4.000000000000,10.000000000000,2.500000000000,10.750000000000
2025,050043,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,41.666666666667,10.416666666667,13.000000000000,3.250000000000,80.000000000000,20.000000000000,0.000000000000,0.000000000000,33.666666666667
2025,050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,ALAMEDA,12.500000000000,3.125000000000,9.000000000000,2.250000000000,16.000000000000,4.000000000000,50.000000000000,12.500000000000,21.875000000000
2025,050305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2450 ASHBY AVENUE,BERKELEY,CA,94705,ALAMEDA,28.000000000000,7.000000000000,3.000000000000,0.750000000000,32.500000000000,8.125000000000,10.000000000000,2.500000000000,18.375000000000
2025,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,30.000000000000,7.500000000000,9.000000000000,2.250000000000,16.000000000000,4.000000000000,20.000000000000,5.000000000000,18.750000000000
2025,490077,SENTARA MARTHA JEFFERSON HOSPITAL,500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA,22911,ALBEMARLE,10.000000000000,2.500000000000,30.000000000000,7.500000000000,44.000000000000,11.000000000000,30.000000000000,7.500000000000,28.500000000000
2025,250009,MAGNOLIA REGIONAL HEALTH CENTER,611 ALCORN DRIVE,CORINTH,MS,38834,ALCORN,15.000000000000,3.750000000000,39.000000000000,9.750000000000,52.000000000000,13.000000000000,0.000000000000,0.000000000000,26.500000000000
2025,490040,INOVA ALEXANDRIA HOSPITAL,4320 SEMINARY RD,ALEXANDRIA,VA,22304,ALEXANDRIA,58.000000000000,14.500000000000,8.000000000000,2.000000000000,68.000000000000,17.000000000000,30.000000000000,7.500000000000,41.000000000000
