zip,lat,lon
01040,42.202,-72.6262
01053,42.3543,-72.7034
01061,42.3696,-72.636
01069,42.1762,-72.3288
01086,42.1734,-72.848
01104,42.1288,-72.5778
01199,42.1199,-72.605
01201,42.4531,-73.2471
01230,42.1959,-73.3607
01247,42.6955,-73.08
01301,42.6013,-72.6236
01331,42.5959,-72.2267
01432,42.5591,-71.5788
01434,42.5385,-71.6115
01440,42.574,-71.9898
01453,42.5274,-71.7563
01550,42.075,-72.0353
01581,42.2679,-71.6176
01604,42.2541,-71.7746
01605,42.2894,-71.7888
01606,42.311,-71.7958
01608,42.2624,-71.8003
01655,42.3648,-71.8969
01701,42.3007,-71.4255
01730,42.4843,-71.2768
01742,42.4567,-71.3747
01752,42.3509,-71.5434
01757,42.1511,-71.5274
01803,42.5089,-71.2004
01830,42.7856,-71.0721
01842,42.707,-71.1631
01844,42.728,-71.181
01854,42.6493,-71.3355
01890,42.453,-71.1441
01915,42.5608,-70.8759
01950,42.813,-70.8847
01970,42.5151,-70.9003
02026,42.2437,-71.1637
02062,42.1868,-71.2033
02090,42.2148,-71.2104
02111,42.3503,-71.0629
02114,42.3611,-71.0682
02115,42.3427,-71.0922
02118,42.3362,-71.0729
02120,42.3307,-71.0912
02124,42.2918,-71.0717
02130,42.3126,-71.1115
02135,42.3478,-71.1566
02138,42.377,-71.1256
02139,42.3647,-71.1042
02176,42.4581,-71.0632
02186,42.2537,-71.0771
02190,42.1751,-70.9495
02215,42.3471,-71.1027
02301,42.0794,-71.04
02302,42.0847,-71.0002
02360,41.9104,-70.642
02446,42.3431,-71.123
02462,42.3299,-71.2562
02467,42.3164,-71.1612
02478,42.3959,-71.1787
02494,42.2945,-71.2328
02540,41.5648,-70.6217
02554,41.2725,-70.0932
02557,41.4543,-70.562
02559,41.6881,-70.6105
02601,41.6601,-70.2967
02703,41.9296,-71.3009
02720,41.7182,-71.14
02721,41.6883,-71.1574
02747,41.6338,-70.9958
02780,41.905,-71.1026
02840,41.4876,-71.3271
02879,41.4437,-71.5342
02886,41.7026,-71.4476
02891,41.3691,-71.8126
02895,41.9846,-71.5194
02902,41.8184,-71.4249
02904,41.8541,-71.4378
02905,41.7845,-71.3959
02906,41.8351,-71.3971
02908,41.8383,-71.4377
02915,41.7723,-71.3542
03038,42.8874,-71.302
03060,42.7564,-71.4667
03102,42.9944,-71.4884
03103,42.9656,-71.4493
03235,43.4426,-71.6491
03246,43.5727,-71.4781
03257,43.4145,-71.9857
03264,43.757,-71.6881
03301,43.2185,-71.5277
03431,42.9627,-72.2955
03458,42.8856,-71.947
03561,44.3112,-71.7768
03570,44.4811,-71.1892
03576,44.9078,-71.4793
03584,44.4921,-71.5591
03743,43.3679,-72.3422
03756,43.6423,-72.2518
03766,43.6447,-72.2428
03785,44.1523,-72.0373
03801,43.0729,-70.8052
03820,43.1888,-70.8868
03833,42.9815,-70.9478
03841,42.882,-71.1758
03860,44.0336,-71.1238
03867,43.3045,-70.9756
03894,43.595,-71.1908
03909,43.1544,-70.6578
04009,44.052,-70.7241
04011,43.8973,-69.9779
04092,43.6843,-70.358
04101,43.6606,-70.2589
04102,43.6602,-70.2898
04240,44.0985,-70.1916
04243,44.197,-70.2395
04268,44.2127,-70.5601
04276,44.5434,-70.5645
04330,44.3232,-69.7665
04401,44.8242,-68.7918
04426,45.1877,-69.2045
04441,45.4716,-69.5844
04457,45.3508,-68.5077
04462,45.6596,-68.7101
04543,44.0293,-69.5042
04605,44.5548,-68.4121
04609,44.3738,-68.2448
04614,44.4343,-68.5885
04619,45.1715,-67.2641
04654,44.7215,-67.482
04730,46.1189,-67.863
04736,46.8706,-68.0204
04743,47.2587,-68.5895
04769,46.6842,-68.0118
